,Credit Score,First Payment Date,First Time Homebuyer Flag,Maturity Date,Metropolitan Statistical Area (MSA) Or Metropolitan Division,Mortgage Insurance Percentage (MI %),Number of Units,Occupancy Status,Original Combined Loan-to-Value (CLTV),Original Debt-to-Income (DTI) Ratio,Original UPB,Original Loan-to-Value (LTV),Original Interest Rate,Channel,Prepayment Penalty Mortgage (PPM) Flag,Amortization Type (Formerly Product Type),Property State,Property Type,Postal Code,Loan Sequence Number,Loan Purpose,Original Loan Term,Number of Borrowers,Seller Name,Servicer Name,Super Conforming Flag,Pre-HARP Loan Sequence Number,Program Indicator,HARP Indicator,Property Valuation Method,Interest Only (I/O) Indicator,Mortgage Insurance Cancellation Indicator
0,794,202305,N,204304,45220.0,0,1,I,80,38,104000,80,6.5,C,N,FRM,FL,SF,32300,F23Q10000001,P,240,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
1,775,202303,N,205302,41180.0,0,1,P,55,37,284000,55,7.375,R,N,FRM,MO,PU,63300,F23Q10000005,N,360,2,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
2,651,202303,N,205302,16580.0,0,1,P,44,14,45000,44,7.625,R,N,FRM,IL,SF,61800,F23Q10000015,C,360,1,Other sellers,Other servicers,,,9,,2,N,7
3,721,202304,N,205303,41180.0,0,1,P,39,17,198000,39,6.875,R,N,FRM,MO,SF,63300,F23Q10000070,N,360,2,Other sellers,ARVEST BANK,,,9,,2,N,7
4,702,202303,Y,205302,,0,1,P,69,41,300000,69,6.375,C,N,FRM,ME,SF,4000,F23Q10000089,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
5,703,202303,N,205302,16740.0,0,1,P,53,28,273000,53,5.875,C,N,FRM,SC,SF,29700,F23Q10000095,N,360,2,Other sellers,Other servicers,,,9,,2,N,7
6,788,202303,N,205302,19340.0,0,1,P,55,43,180000,55,5.875,R,N,FRM,IA,SF,52700,F23Q10000096,P,360,1,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
7,773,202303,N,205302,,0,1,P,68,27,182000,68,6.375,R,N,FRM,MN,SF,56600,F23Q10000130,N,360,2,Other sellers,ARVEST BANK,,,9,,2,N,7
8,628,202303,N,205302,29100.0,0,1,P,37,45,110000,37,6.375,R,N,FRM,WI,CO,54600,F23Q10000145,C,360,2,Other sellers,Other servicers,,,9,,2,N,7
9,640,202303,Y,205302,41180.0,25,1,P,87,31,158000,87,7.0,R,N,FRM,IL,SF,62000,F23Q10000175,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
10,776,202303,N,205302,,0,1,P,24,31,59000,24,5.75,R,N,FRM,IA,SF,52100,F23Q10000183,N,360,1,Other sellers,Other servicers,,,9,,2,N,7
11,759,202303,N,205302,21660.0,0,1,P,52,41,150000,52,6.25,R,N,FRM,OR,SF,97400,F23Q10000215,C,360,2,Other sellers,Other servicers,,,9,,2,N,7
12,797,202305,N,205304,,0,1,P,62,27,343000,62,5.875,R,N,FRM,CO,SF,81200,F23Q10000229,N,360,2,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
13,769,202303,Y,205302,48424.0,0,1,P,70,43,217000,70,6.125,R,N,FRM,FL,SF,33400,F23Q10000238,P,360,1,Other sellers,Other servicers,,,9,,1,N,7
14,709,202303,Y,205302,14010.0,25,1,P,95,30,100000,95,6.0,R,N,FRM,IL,SF,61700,F23Q10000245,P,360,1,Other sellers,Other servicers,,,H,,2,N,N
15,772,202303,N,205302,16984.0,30,1,P,95,33,266000,95,6.375,R,N,FRM,IL,SF,60400,F23Q10000267,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
16,773,202303,N,205302,,25,1,P,95,33,214000,95,5.875,R,N,FRM,VT,SF,5600,F23Q10000286,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
17,723,202303,N,205302,17140.0,0,1,P,80,46,146000,80,6.0,R,N,FRM,OH,CO,45200,F23Q10000302,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
18,754,202303,Y,205302,37900.0,35,1,P,97,47,113000,97,6.0,R,N,FRM,IL,SF,61600,F23Q10000304,P,360,1,Other sellers,ARVEST BANK,,,H,,2,N,N
19,812,202303,Y,205302,,12,1,P,83,21,185000,83,6.25,R,N,FRM,MN,SF,56400,F23Q10000312,P,360,2,Other sellers,ARVEST BANK,,,9,,2,N,N
20,758,202303,N,205302,49180.0,25,1,P,90,32,293000,90,6.375,C,N,FRM,NC,SF,27000,F23Q10000331,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
21,749,202304,N,204303,,0,1,P,29,12,35000,29,6.625,R,N,FRM,MO,SF,65700,F23Q10000356,C,240,1,Other sellers,Other servicers,,,9,,2,N,7
22,769,202303,N,205302,21300.0,0,1,P,62,25,255000,62,6.125,R,N,FRM,NY,SF,14800,F23Q10000362,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
23,734,202303,N,205302,,0,1,I,80,29,34000,80,6.75,R,N,FRM,KS,SF,67600,F23Q10000374,P,360,1,Other sellers,Other servicers,,,9,,2,N,7
24,685,202304,N,205303,49180.0,0,1,P,52,34,130000,52,5.875,C,N,FRM,NC,SF,27100,F23Q10000390,C,360,2,Other sellers,Other servicers,,,9,,2,N,7
25,708,202304,N,205303,41180.0,0,4,I,75,44,95000,75,6.5,R,N,FRM,MO,SF,63100,F23Q10000398,N,360,1,Other sellers,ARVEST BANK,,,9,,2,N,7
26,802,202303,Y,205302,,30,1,P,95,43,114000,95,6.125,R,N,FRM,IN,SF,46700,F23Q10000402,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
27,810,202303,Y,205302,47894.0,25,1,P,95,30,175000,95,5.875,R,N,FRM,VA,CO,20100,F23Q10000405,P,360,1,Other sellers,Other servicers,,,H,,2,N,N
28,681,202303,Y,205302,16984.0,25,1,P,94,49,128000,94,6.5,R,N,FRM,IL,SF,60400,F23Q10000428,P,360,1,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,H,,2,N,N
29,766,202303,Y,205302,,0,2,P,80,39,150000,80,5.875,R,N,FRM,IA,SF,52100,F23Q10000472,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
30,747,202303,N,205302,16984.0,0,1,I,75,49,176000,75,6.375,R,N,FRM,IL,CO,60400,F23Q10000478,P,360,2,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
31,779,202304,N,203803,21300.0,0,1,P,74,38,110000,74,5.5,R,N,FRM,NY,SF,14800,F23Q10000493,P,180,2,Other sellers,Other servicers,,,9,,2,N,7
32,812,202303,N,205302,38060.0,0,3,I,57,50,403000,57,6.5,R,N,FRM,AZ,PU,85300,F23Q10000522,N,360,1,Other sellers,ARVEST BANK,,,9,,2,N,7
33,640,202303,Y,205302,33340.0,0,1,P,80,35,196000,80,6.875,R,N,FRM,WI,SF,53200,F23Q10000530,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
34,807,202303,N,205302,10420.0,30,1,P,95,48,475000,95,6.625,R,N,FRM,OH,PU,44200,F23Q10000593,P,360,2,Other sellers,Other servicers,,,9,,2,N,N
35,764,202303,N,205302,35004.0,25,1,P,90,49,212000,90,6.875,R,N,FRM,NY,CO,11500,F23Q10000622,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
36,792,202303,Y,203802,16984.0,0,1,P,80,36,272000,80,5.25,R,N,FRM,IL,SF,60600,F23Q10000636,P,180,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
37,734,202303,Y,205302,16860.0,30,1,P,95,32,228000,95,6.25,R,N,FRM,GA,SF,30700,F23Q10000644,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
38,741,202303,Y,205302,35614.0,0,1,P,65,50,235000,65,6.375,R,N,FRM,NY,CP,11300,F23Q10000666,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,H,,2,N,7
39,723,202303,Y,205302,22660.0,12,1,P,85,47,353000,85,6.5,R,N,FRM,CO,CO,80500,F23Q10000684,P,360,1,Other sellers,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,N
40,772,202304,N,205303,19340.0,0,1,P,80,38,422000,80,5.75,R,N,FRM,IA,SF,52700,F23Q10000708,P,360,2,Other sellers,ARVEST BANK,,,9,,2,N,7
41,790,202303,N,205302,19780.0,0,1,P,25,12,80000,25,6.125,R,N,FRM,IA,SF,50200,F23Q10000715,N,360,2,Other sellers,Other servicers,,,9,,2,N,7
42,646,202303,N,205302,41540.0,0,1,I,51,45,205000,51,7.375,R,N,FRM,MD,CO,21800,F23Q10000725,P,360,1,"CMG MORTGAGE, INC.","CMG MORTGAGE, INC.",,,9,,2,N,7
